gene	lv1	lv2	rv1	rv2	genelength
Itm2a	2236	2174	9484	10883	1626
Sergef	97	90	341	408	1449
Fam109a	383	314	1864	2384	2331
Dhx9	2688	2631	18501	20879	4585
Ssu72	762	674	2806	3435	1446
Olfr1018	0	0	0	0	935
Fam71e2	0	0	0	0	2675
Eif2b2	736	762	3081	3601	1565
Mks1	77	82	398	685	2347
Hebp2	203	205	732	921	1906
Vps28	1319	1240	4130	4926	875
Setd6	179	172	1073	1492	1662
Gstm2	175	198	441	470	1039
Spn-ps	0	0	0	0	806
Psma4	757	555	3158	3631	1087
Pex19	1129	1175	5310	6694	3123
Tsnaxip1	3	2	19	38	2194
Gm9705	3	2	17	19	2629
Bcl7a	825	827	4021	5178	3803
Mir5134	0	0	0	0	77
Dio1	0	0	0	0	1660
Bnip3l	1065	949	3765	4024	3231
Capzb	5161	5045	20458	25186	1739
Dnajc21	601	588	2480	2912	2041
Cachd1	275	304	4269	5192	4938
Gm6654	2	8	35	60	625
Olfr955	0	0	0	0	944
1110008J03Rik	144	141	703	794	1662
Snip1	273	261	1564	1697	2321
Ptgr1	220	187	771	766	2094
Vmn1r5	0	0	0	0	947
Npy	12	13	64	45	541
B9d2	230	214	1281	1297	1018
Syt2	3	1	10	13	3376
Ppia	0	0	2	1	731
Phax	747	658	2629	3113	2042
Lnx2	360	363	2377	2446	4533
4932418E24Rik	1	1	9	10	3137
Gm10768	0	1	1	2	2042
Itgb7	3	3	30	29	2659
Rplp2	495	449	3128	3279	436
Strbp	765	736	4093	5518	16331
Snhg4	65	70	374	735	1147
4930444G20Rik	0	0	0	0	1770
Olfr799	0	0	0	0	935
Gm10220	0	0	0	0	2979
Dhrs2	0	0	3	1	1262
Ankk1	0	0	0	0	2678
Ttll11	20	11	94	126	3167
Fam187b	3	1	9	16	2662
B3gnt3	29	32	62	213	2100
4930465K10Rik	3	1	16	20	1261
4930467E23Rik	0	0	0	0	2579
4922501L14Rik	1	4	11	28	2002
AI428936	169	187	769	1242	1346
Olfr1221	0	0	0	0	935
Mir127	0	0	0	0	69
Zdhhc23	15	15	115	195	1274
Psmg2	640	658	1735	2191	1052
1700095B22Rik	0	0	8	12	1086
Mir5108	0	1	0	0	84
Mettl22	478	395	1866	2074	1302
Adrb1	166	166	893	792	2490
Ifi30	235	237	988	1160	975
Lrrn4cl	6	3	25	34	2581
Hprt	1211	1048	4044	4333	1340
Gkn1	0	0	5	5	1214
Gm4736	0	0	0	0	1026
Fabp9	0	0	0	0	581
Snora31	2	2	22	77	111
4930534B04Rik	148	157	937	1178	4781
Fignl2	594	439	1174	1583	4205
Tlr9	0	0	8	9	3469
Olfr1466	0	0	0	0	932
Kcnh1	17	34	383	329	7132
Spaca7	0	0	0	0	754
Eif2c4	41	45	372	542	6503
Lrat	0	0	85	268	5347
Otop2	0	2	6	12	2327
Rnf115	659	672	2413	2845	2256
Hdgf	4478	3633	16278	18877	2239
Chst12	924	743	3112	3773	1784
1700019D03Rik	0	0	7	7	832
Otx2os1	0	0	0	0	738
Mir1843	0	0	0	0	64
Sowahc	64	63	307	392	4511
Nup188	1268	1212	6371	7639	5626
Vmn1r184	0	0	0	0	944
Gpx2	1	0	0	2	1065
4930423M02Rik	0	0	2	0	1200
Olfr1084	0	0	0	0	953
Msmb	0	0	0	0	517
Ptprb	170	221	1687	1984	11880
Rab9b	6	4	32	40	3758
Ccdc155	12	21	47	82	2190
Vsig8	1	0	13	8	1871
Tmem88b	93	156	238	400	3469
Prkag2	1489	1473	4953	5983	3444
Nmt1	2128	1844	7879	8637	1826
Cd22	0	0	0	1	4297
Gpr111	0	4	20	19	3277
Gm14482_2	0	0	0	0	508
Slc15a1	0	0	4	6	3100
Crem_1	20	18	91	93	1582
Batf3	22	31	117	140	709
Fut4-ps1	0	0	0	4	2493
Slc47a1	244	322	1762	2871	2617
Sharpin	465	446	1626	2363	1724
Pbx4	16	21	69	107	1339
Nup210	476	467	2872	3890	6995
Dnaic1	30	32	67	84	2471
Nos1	0	0	2	2	4358
4930565N06Rik	0	0	12	22	2413
Sod2	1655	1801	9620	10644	3819
Cdk6	87	92	863	1164	2463
C1rl	4	3	7	25	3004
Tcea2	61	70	380	655	1153
Fam83h	86	65	279	400	4622
Il17ra	245	258	789	972	3957
Bdkrb1	0	0	0	3	1337
Sgk1	124	118	924	1220	4138
Fam40b	314	417	3775	4124	5348
Mir684-1_7	0	0	0	0	84
Aig1	132	112	656	738	1048
Atp6v1e1	1467	1350	5426	6623	1195
D430042O09Rik	432	516	1892	2784	6163
Chi3l3	0	0	0	0	1528
Sufu	344	349	2127	2376	2347
l7Rn6	251	175	930	1118	1040
Iltifb	0	0	0	0	1105
Zscan22	163	198	567	971	2617
Olfr902	0	0	0	0	1055
Gm8994	0	0	0	0	1571
Olfr862	0	0	0	0	920
Olfr279	0	0	0	0	932
Dda1	1387	1238	4970	5603	2270
Ptprk	941	1239	7048	7413	6145
Mdc1	1772	1872	10748	14397	7336
Kit	325	434	2665	3085	5160
Gata1	124	84	272	363	1801
Cnga4	0	0	0	5	2474
E130309D14Rik	69	52	391	418	3998
Apol7c	0	0	0	0	2039
Neil2	13	29	137	240	1909
H2-Bl	4	1	1	2	1158
Atp7b	95	78	645	997	4690
Grem2	13	5	11	11	3743
Glt6d1	0	0	0	0	1086
Gli1	27	4	29	106	3649
Il10rb	347	366	2051	2363	1843
Fstl3	142	141	1300	1295	1948
Ccdc71	684	576	2582	3018	3106
Rho	7	2	26	56	3231
Nt5dc1	76	77	240	280	2704
Obox5	0	0	0	0	1308
4931428F04Rik	174	213	1207	1502	3545
Rbbp6	1882	2111	10035	14337	7752
4922502N22Rik	3	2	0	0	1145
Gbf1	1435	1508	7727	9376	6361
Plp1	53	69	328	666	2536
Gm7030	0	0	0	0	895
Slc6a20b	0	0	0	1	3276
Tst	59	44	186	199	1094
Bpifb6	0	0	0	0	1650
1700015E13Rik	1	0	6	13	711
Nid2	4736	4724	32663	40092	4863
Fam117b	271	284	1454	1597	5524
C1qtnf7	2	0	15	52	1688
4930474H20Rik	0	1	0	1	1470
Pcdhga2	3270	3790	15544	16130	4533
Crabp2	26	23	40	91	896
Ehmt1	1079	1170	7051	8658	5056
Ubr3	1165	1498	8676	10880	8045
Dnajc7	1428	1483	8991	12050	2298
Csn3	0	0	0	1	1592
Tor3a	57	87	317	395	3262
Ccdc134	252	170	793	1148	2038
Il4i1	8	14	114	118	2039
Nup37	89	90	523	636	1359
Cxcl13	0	2	0	8	1158
Aimp1	1200	974	4364	5443	1115
Rpl24	12	8	33	20	673
Phospho1	220	218	1097	1236	1907
Mrpl48	153	127	937	844	1044
Mlf2	4695	4356	18581	21235	1535
Popdc2	5390	5125	24289	29429	2201
Malat1	5110	8741	98084	189527	6981
Dock6	2169	3053	17223	22766	6510
Timp1	355	285	825	1016	884
Mup14	0	0	0	0	919
Foxe1	0	0	3	1	1115
1700123O12Rik	0	0	0	0	563
Mir467a-4	0	0	0	0	81
Zfp703	601	571	2692	3082	3302
Tmigd1	1	1	2	6	1360
Olfr374	0	0	0	0	1078
Wls	1648	1771	7490	8460	2756
Wdr3	643	597	2890	3829	3401
Ctbp2	1631	1472	6639	7675	4765
Casp12	1	5	24	44	2594
Itpripl2	510	463	3136	3268	6863
Tmem90a	4	3	2	2	2495
2210416O15Rik	26	30	183	195	1500
Ankmy1	2	1	2	9	3225
Zdhhc11	0	0	0	0	1291
Gm1647	0	0	0	0	732
Zbtb22	642	550	3122	3712	2605
Ap1s1	1845	1579	6544	7067	1272
Ptprs	3161	3732	27002	32401	6943
Plekhn1	55	60	356	551	2194
Gprc5b	227	207	1135	1177	4521
1700021C14Rik	81	71	213	327	477
Tubb4b	937	801	3820	3921	1596
Zfp558	34	44	167	197	3831
Mir99a	0	0	1	7	64
Tmc2	0	0	0	1	3196
Lta4h	1600	1590	6729	7466	2047
LOC100041014	0	0	0	0	720
Cylc2	0	0	0	0	1292
A330021E22Rik	6	12	32	71	3222
Rasa2	408	537	2815	5428	5675
Gm16576	38	33	226	358	5400
Snord111	0	0	1	0	63
Agpat3	843	865	5088	5925	3429
Zfp362	1276	1415	6195	7226	2873
Mbl2	1	0	0	1	1063
Mrc2	451	399	2340	3073	5771
Gm10096_9	0	0	0	0	898
1190002N15Rik	1170	1306	7810	8993	3947
Med23	496	535	2604	3608	4916
Icmt	624	616	3989	4823	5040
D630033O11Rik	2	0	0	2	571
Rgl1	1356	1432	6671	7751	3869
Msl3l2	187	163	757	777	2138
Gm216	11	7	31	33	2091
Gm10653	23	31	91	127	1228
Cpxm1	394	340	1736	2023	2407
Alms1	102	150	824	1072	9961
Nmral1	381	299	1579	2030	1155
2900060B14Rik	4	3	22	24	596
Klhl31	685	769	4698	5653	6254
Vmn1r58	0	0	0	0	2678
Ppp2ca	3809	3805	15587	16538	1923
Ocrl	392	430	1882	2327	5158
Svs1	0	0	0	0	2772
Il10	0	0	0	0	1301
D11Wsu47e	306	309	1395	1785	2191
Ppp2r5b	496	456	2428	3073	2694
Olfr103	0	0	0	0	941
Rpl27	23	19	25	34	729
Il23r	0	0	1	0	2477
Mir374	0	0	2	1	94
Cuzd1	13	19	55	480	2247
Tecr	3091	3140	9150	10328	1161
Slc22a16	0	0	0	0	2235
Rpph1	10	5	151	145	324
Caprin1	5732	6048	28263	34155	7574
Olfr876	0	0	0	0	1047
Ndufb3	617	523	2656	3095	529
1700001G17Rik	12	11	53	84	888
Ott	0	0	0	0	2021
Mdm4	175	220	1366	2336	3478
Senp3	1175	1007	5034	5951	2526
Ptpru	39	21	113	143	5473
Sytl1	6	10	26	35	1910
9930023K05Rik	2	1	5	11	2375
Zdhhc16	524	503	1897	2432	1827
Brp44	1326	1030	4595	4828	849
Arrdc5	0	0	0	3	1053
Scarb1	1913	1760	6722	7792	3087
Mrpl1	398	318	1248	1426	4161
Olfr193	0	0	0	0	929
Fas	8	7	54	71	1791
Gm11570	0	0	0	0	1890
Ube2m	4416	3433	16501	17636	1560
Trim24	806	978	4029	5195	4016
Pla2g12a	537	464	2234	2392	1649
Pf4	376	262	744	942	585
Gm962	59	46	314	337	3090
Gm5069	20	44	216	305	3580
Gpr30	1	2	14	16	2506
Elavl3	83	39	425	417	5020
Gm5065	0	0	0	0	10140
Olfr869	0	0	0	0	996
Bcat1	191	134	657	1787	8090
AF251705	0	0	7	2	1135
Ankrd49	406	352	1379	1774	1762
Npm1	730	732	4209	3265	1706
4930455B14Rik	0	0	1	1	1091
Mboat7	871	847	3637	3841	2872
Ppm1h	115	162	701	888	7506
DXBay18_1	0	0	0	0	2857
Rbm25	3374	3635	18236	26142	4225
Gclm	506	476	2411	2771	1463
Ran	1493	1205	8576	8138	2281
Cep63	300	304	1728	2036	2679
Gm6602	0	0	0	0	1923
Fcgr4	0	0	16	7	1245
Mtus2	2890	3420	16631	19487	7528
2410002O22Rik	564	597	2604	3345	4819
Tars2	660	644	3502	4619	4422
Mrgprx1	0	0	0	0	1178
Mirlet7f-2	0	0	0	0	82
Grik3	106	135	2278	2235	8826
Fam173b	209	194	900	1133	1161
Stxbp5	244	244	1721	2412	9048
Olfr723	0	0	0	0	1005
Mcat	339	311	1592	1801	1889
Olfr1451	0	0	0	0	932
Gcdh	492	440	1759	2492	2166
Mir26a-1	0	0	0	1	89
Ccdc68	31	25	86	145	1514
Dmap1	725	610	3441	4172	1502
Hr	13	4	47	98	5461
Rufy1	258	269	1726	1982	2639
Wasf3	31	28	55	94	2675
4732491K20Rik	52	44	192	292	3172
Olfr1504	0	0	0	0	947
2700007P21Rik	279	327	1575	2161	3383
Gtse1	548	474	2514	2759	2768
Snap29	545	487	1898	2322	3427
5730455P16Rik	377	354	1497	1933	4526
Olfr160	0	0	0	0	932
Sfrp1	1972	2202	15673	16006	4369
Gm11544	0	0	0	0	1352
Gbas	3173	3511	19823	22271	2088
Rhag	68	51	155	302	2306
Olfr685	0	0	0	0	950
Inadl_1	87	87	599	823	4617
Mir3081	0	0	0	0	83
Efhc1	4	14	58	66	2197
Prss36	100	87	481	676	3046
Smok3b	0	0	0	0	2328
Mab21l3	11	18	46	108	3551
AI593442	1	2	10	14	5615
Sfxn2	160	150	828	1247	3200
Mir664	0	0	0	0	68
Bglap2	0	0	0	0	467
4930546K05Rik	0	0	0	0	3532
Kctd15	339	262	1350	2033	2405
Gm5083	0	0	0	0	1199
Paf1	1330	1363	6802	8861	1939
Ssxb1	0	0	0	0	867
Rfx3	63	121	757	1082	9322
Luzp2	26	27	140	204	5262
Ccdc30	12	15	62	69	2521
Tmco1	1056	771	4115	4242	4467
E2f5	292	221	1104	1394	1741
Accn5	0	0	2	3	1647
Qtrt1	257	217	1054	1451	1311
Fam89b	880	752	3573	3813	1210
Taf6l	505	399	1656	1795	2486
Gm5148	0	0	0	0	1212
Kctd16	2	2	27	37	1363
C030019I05Rik	2	2	11	35	2261
Htt	431	558	3495	4650	13139
Rbm43	158	183	623	784	2149
Got1	2514	2608	13920	15485	2048
Nufip2	862	1056	5019	6948	10395
Zfp688	101	74	426	567	1013
Pmel	20	34	89	131	2119
Tmprss13	5	2	0	36	3231
B3galnt2	357	331	1441	2243	3669
Grin2b	0	2	2	1	7490
Efs	581	421	2397	3413	3565
1110065P20Rik	440	393	1658	1797	759
Serpina3n	3	1	10	19	2080
2410012M07Rik	2	0	0	4	1813
Crispld2	90	68	279	375	4135
Srp68	1527	1398	6242	7330	2510
Cd46	1	4	23	32	1202
Akr1c18	1	1	3	457	1163
Alg1	266	283	1237	1454	1747
Tfeb	476	406	2672	2876	2817
Slc5a8	1	0	0	62	5316
Ppp4r1	957	902	4536	5540	3830
Sh2d4a	57	53	516	509	2758
Pgm2	3555	3116	18033	20760	2323
Spink10	13	19	21	40	1126
Tmem180	48	47	160	192	2271
Ptgir	2	0	23	10	3332
Gpr3	4	14	45	64	2141
Dusp7	483	439	2146	2462	3209
Snord89	1	0	1	3	93
Gpr137	553	508	2235	2517	2759
Zfp760	102	128	704	1007	4203
Ms4a6c	0	5	31	16	2045
Mfn1	894	970	4686	5917	4513
Atp7a	440	507	2215	2730	8123
1700052I22Rik	0	0	0	0	375
Vegfa	1544	1580	14565	23893	4165
Cd97	472	596	2916	3220	3233
Asph	1795	1971	9152	11124	12265
Cysltr2	0	0	0	0	1796
Olfr30	0	0	0	0	1065
Mir5114	41	49	88	102	60
Olfr921	0	0	0	2	1517
Fam154a	0	0	2	5	1831
Mir3960	1	2	2	2	72
Gm6367_1	0	0	0	0	2460
Uts2d	0	0	12	9	830
Mir1945	0	0	4	3	77
Trafd1	960	1030	4426	5879	2474
Kir3dl2	0	0	0	0	1725
Il1f10	0	0	0	0	534
Crip2	16888	14861	79281	92676	1432
Cacng2	0	0	0	0	2883
Phxr4	0	0	13	9	1379
Cyp3a57	0	0	0	0	1576
Srsf3	1207	1189	5403	8342	3034
Olfr62	0	0	0	0	947
Sox10	30	9	59	144	2709
Chchd2	2928	2332	6708	7480	906
Olfr553	0	0	0	0	980
9130011J15Rik	897	752	2898	3365	2837
Olfr270	0	0	0	0	938
Ggcx	324	363	2171	2951	2884
Sgk3	109	124	435	502	5601
Mipol1	94	86	524	533	1444
Hist1h4i	15	17	92	117	536
Slc24a3	66	103	502	539	3405
Adamts4	18	22	119	140	3664
Akr1b8	217	167	604	938	1294
Otud6b	430	458	1810	2452	3252
Mir291a	0	0	0	0	81
Gm16442_1	0	0	0	0	923
Mir200b	0	0	0	0	69
Olfr230-ps1	0	0	0	0	955
Il2ra	0	0	0	0	4420
Cpt1a	334	527	4237	4422	4282
Kbtbd4	357	368	1582	2014	2389
Arl6ip5	1156	1236	4993	6001	1336
Gm10094	0	0	0	0	775
Rab2b	264	276	1121	1545	2748
Olfr1026	0	0	0	0	923
Gga3	940	850	3522	5180	3664
Yes1	285	375	1852	2335	4596
Gm7257	0	0	0	3	515
Pld3	959	963	4379	4793	2150
2610039C10Rik	230	202	846	926	1295
Dedd	763	798	3347	4310	2727
Mir467a-1_5	0	0	0	0	72
Mcm10	473	414	1836	2297	3474
Gm12253	0	0	0	0	1349
Tmem47	539	509	2314	2725	4079
Ccdc28b	357	295	987	1208	834
AW146154	19	15	133	195	3407
Otor	3	2	1	10	912
Dpyd	6	5	22	45	4414
1700036G14Rik	0	0	0	0	536
Mir193	0	0	0	0	65
Abcb6	294	267	1671	2070	2914
Tbc1d14	388	384	1712	2336	4998
Ms4a6d	0	0	19	6	1364
Cdca7	327	332	1706	2212	2352
Ccnl2	1108	1218	8256	15574	2431
Wdr47	160	143	866	1176	4208
Atp1a2	857	1125	6522	9248	6204
Tas2r136	0	0	0	0	983
Ptpn11	3025	2892	17647	22877	5595
Vmn1r32	0	2	7	7	2439
Ccbp2	2	3	13	29	2781
Slc5a5	0	4	13	13	2913
Mir669a-1_6	0	0	0	0	96
Pbk	257	202	1164	1307	1638
Ctdnep1	1029	983	4907	5748	1606
Clec4d	0	0	0	2	1330
Lyzl6	0	0	0	0	877
Cyp2t4	2	1	18	46	1502
1700020I14Rik	385	389	2534	3549	1546
Zik1	105	109	619	763	4187
Oaz3	3	3	6	14	1131
Mir707	10	14	23	31	72
Spata7	101	116	456	642	2012
Ppargc1b	387	419	3597	4741	3644
Lig1	2076	1813	9202	10258	3490
Pqbp1	1010	1062	4370	5038	1326
Gm1821	12	5	507	379	701
Kcna4	48	51	539	633	4842
Bean1	4	1	33	33	3384
Kdm5d	108	135	911	1522	5445
Ovol2	8	0	0	9	1528
Haao	1	1	1	6	1214
Mir1896	4	3	20	61	80
Cux1	1227	1233	6597	8051	6543
Creb3l2	1504	1576	7259	9045	3306
Serpina4-ps1	0	0	0	0	1349
Alg8	298	278	923	1450	1988
Magee1	294	306	1505	1432	3515
Ssfa2	418	427	2203	3138	5075
Gtpbp1	1262	1202	5700	7046	3386
Cdca2	727	699	3210	4649	3916
Prok1	0	0	3	3	411
Vmn1r73	0	0	0	0	911
BC068281	117	110	591	949	3169
Zfp386	173	177	673	1083	2062
Stk38l	194	236	1609	2183	4603
Cox15	748	786	3860	4612	4789
AW549877	504	639	2377	4342	5078
Olfr796	0	0	0	0	932
Coro1b	1689	1573	6675	7937	1833
Uts2r	0	0	1	1	1702
Pdgfa	630	630	4321	4286	1009
Fbxo4	118	91	522	487	3439
Uba1	8278	8192	37748	42321	4093
Pcsk4	18	27	129	285	2499
4921530L18Rik	6	2	28	39	798
0610038L08Rik	3	1	10	20	1345
Rabl2	156	179	472	679	1637
Rad54l2	683	754	4297	5936	9304
Gm7538	0	0	0	0	1516
4930544M13Rik	0	0	0	0	1405
Tsen34	473	427	2798	3099	1640
Gjb2	11	14	24	265	2402
Gm13138_1	0	0	0	0	3993
Itgb2	17	21	157	151	2846
Zfp513	471	463	2311	3153	2473
Vmn2r-ps129	0	0	0	0	1688
Olfr1443	0	0	0	0	4334
Bet3l	0	2	1	0	1178
Pcdha5	15	4	56	122	5202
Mir384	0	0	0	0	87
Ccno	1	0	5	12	1873
Dhdds	777	695	2818	3270	3101
Zyg11b	690	793	3840	4484	10640
Man1a2	1283	1356	5890	7258	7930
Sim1	0	0	0	3	7344
Samhd1	836	903	3570	4882	3993
Pde4d	925	1095	3270	4503	7032
Nubp1	573	437	2065	2627	2117
Olfr1380	0	0	0	0	935
Hlx	52	62	388	304	2143
Olfr328	0	0	0	0	932
Olfr403	0	0	0	0	941
Slc25a25	230	215	1141	1409	3953
Ctdspl2	432	427	2196	2912	4532
Six5	682	767	4135	5239	2850
Oas1b	1	2	4	18	1831
Sel1l	1722	1717	8162	9967	6279
Pomc	22	17	62	64	1004
Nhlrc1	53	57	259	312	2293
Gm7092	0	1	10	4	908
Per3	74	108	781	1077	5932
Nkiras2	972	892	3907	4453	2009
Copg2	1708	1935	5740	7200	3101
Ddx26b	171	235	1755	3197	3791
Apoa1bp	1438	1314	5278	5774	899
Zfp236	564	593	3389	4694	9443
Mir465c-1_1	0	0	0	0	80
Lrrc10b	1	2	9	7	2076
Mthfd1	836	689	3722	4293	3296
Chd2	864	1133	6477	9309	9032
Vmn1r78	0	0	0	0	941
Noxo1	32	26	176	216	2229
Ints1	1586	1617	10054	12167	7066
1700093K21Rik	0	0	0	8	1441
Itih3	52	64	466	525	2796
Olfr127	0	0	0	0	971
Nxf2	6	2	22	27	2350
Krt1	10	8	33	55	2438
Hoxb5	25	0	12	20	1894
Amdhd2	213	257	1093	1316	1452
Scyl1	1664	1647	7099	8338	2620
Olfr57	0	0	0	1	1079
Elmod3	167	171	721	917	2222
Capn3	123	151	481	702	3463
Raet1a	36	25	75	77	1535
Gm8898	0	0	0	1	3582
Crb3	5	2	5	44	1152
Lama1	187	151	549	696	9455
Fanca	368	336	1975	2923	4498
Tmem86a	159	172	775	827	1788
C87499	0	0	0	0	1824
Xaf1	7	14	59	89	2592
LOC100039810_2	0	0	0	0	1218
Josd1	576	510	3112	3424	3390
1110018G07Rik	429	449	2241	3015	5413
Cpne2	173	144	614	764	2286
AI464131	247	268	1151	1402	4173
Ly6c2	1	0	0	0	797
Crygn	55	28	44	64	600
Olfr774	0	0	0	0	938
Chmp2a	1438	1228	5366	6016	921
Dnase1	45	31	181	281	1296
Olfr659	0	0	0	0	968
Zfand1	48	54	202	206	1583
Mir10b	0	0	0	0	67
Rnf208	84	75	390	509	1332
LOC100040911	0	0	0	0	992
4921515E04Rik	0	0	0	0	2297
1110005A03Rik	104	85	344	454	1034
Mir669a-12	0	0	0	0	86
Gm10421	0	0	0	0	839
Olfr352	0	0	0	0	947
Shisa4	224	210	854	953	1185
Polr2l	117	91	245	255	1669
Gm3143	0	0	0	0	953
Acacb	937	1315	9697	11033	8433
Vgll3	26	26	82	112	3327
Glra2	0	0	0	0	2729
Khdc1b	0	0	0	0	2244
En1	0	2	2	8	2552
Shank2	14	8	44	71	7013
Snord35a	0	1	4	12	88
Rell1	173	139	936	1000	3233
Gm20257	5	1	5	10	934
4930413E15Rik	0	0	0	0	1285
Irak3	5	6	31	21	2957
Pgrmc2	2016	1740	7690	8206	3004
Prkcdbp	1076	810	4187	5089	1024
Map4k2	226	217	1392	2069	2434
Olfr497	0	0	0	0	944
Gm6583	0	0	8	3	2232
Urb1	210	233	1177	1856	7326
Meis2	1587	1553	9387	11344	5253
Asrgl1	216	181	1140	1502	2267
Raver1-fdx1l	2134	2027	8541	9693	2982
Slc7a10	21	21	120	154	1939
Robo2	96	45	424	524	8019
Vmn1r129	0	0	0	0	923
Fam26e	19	38	129	123	1784
4933430H15Rik	114	140	549	784	3973
Cacna2d1	335	461	4099	4865	7453
Gtf3c1	2096	2365	15186	17397	6832
Thoc7	1016	693	2688	3039	1140
Frmpd4	0	0	1	1	8589
Cyp4a14	0	0	0	0	2483
Alg14	198	156	578	681	906
Nom1	377	381	2202	2619	3531
Lman2	3187	2916	13169	14951	4307
A130040M12Rik	0	0	2	2	3241
Pla1a	6	6	40	59	1963
2410001C21Rik	730	653	3141	3442	2133
Tsen54	412	320	1769	2283	1961
Tcf12	1149	1139	6088	7537	5038
Smoc2	86	34	372	366	2819
BC017643	311	262	1213	1572	2582
Hes2	0	0	0	0	2516
Mybpc3	24525	26132	186467	215867	4118
Tbc1d30	12	21	188	269	5683
Taf12	387	309	1183	1443	1344
Zfa	0	0	0	0	3419
Krtap16-5	0	0	0	0	525
Chst8	23	20	97	265	2393
Mir203	0	0	0	0	75
Lenep	77	79	319	540	666
Ept1	534	556	2672	3716	6759
Clptm1	2247	2042	9090	10247	4117
Sox15	2	2	10	14	1136
Mir688	0	0	0	0	74
Srek1ip1	639	532	1996	2186	1683
Arhgdib	546	449	1324	1563	1094
Tmem179	40	70	326	383	2369
Aasdh	112	119	696	1221	3678
Ints8	740	708	2856	3603	4942
Apbb1ip	50	41	136	140	2526
Agxt	0	0	1	6	1506
Stx6	768	770	3456	3860	2451
Alkbh6	376	277	1366	1780	938
Dock10	39	40	232	300	7247
Luc7l3	3491	3701	17999	30129	3285
Pigz	2	2	28	50	2181
Ect2l	3	1	3	7	2879
Slc22a6	0	4	4	6	4016
Cog8	537	431	2444	2917	2099
Uprt	18	26	230	289	1105
4930455D15Rik	0	0	0	0	1611
2900056M20Rik	49	59	286	387	4251
Cd200r1	4	4	15	12	1884
Mir3087	0	0	0	0	55
Cypt12	0	0	0	0	508
Plekhj1	1328	1033	3246	4177	1254
Prkcz	125	94	326	503	4576
Hira	682	583	3792	4887	4508
Arfgap1	1113	915	4331	6513	2980
Olfr728	0	0	0	0	935
Ccdc122	8	14	73	69	1715
Gm7056	0	0	0	0	3091
Olfr172	0	0	0	0	1087
Psmd10	347	269	1076	1246	1451
Pus7l	155	175	668	831	2839
Zfp57	645	656	3296	6896	3222
Gcap14	862	1067	5327	6500	7528
Gm694	0	0	2	6	903
Rps27a	77	45	327	382	816
Rgs16	20	30	315	362	2330
Mir721	0	0	0	0	87
Slc23a1	5	7	21	38	2994
Dcst1	0	1	4	18	2296
Txndc8	0	0	0	0	612
Vmn2r60	0	0	0	0	2556
Esyt1	713	753	4180	4843	3654
Lix1	31	38	42	73	3096
Rpf1	535	483	2387	2689	2603
Rbmy1a1_1	0	0	0	0	1721
Mapkbp1	307	399	1902	2787	6907
Mettl2	500	528	2339	2918	2610
Matn1	0	0	2	3	1994
Tsix	181	335	2184	4027	4302
Hamp	0	0	2	1	391
Slfn2	37	30	117	185	1662
Gm14635	0	0	0	0	1408
Opn1sw	8	4	15	5	2405
1700065J18Rik	0	0	0	1	401
Nadsyn1	133	136	619	917	2610
Scarna8	1	0	0	2	117
Rplp2-ps1	107	85	278	232	824
Olfr459	0	0	0	0	944
Ndrg4	1801	2221	12684	15851	2951
Snord15b	2	1	5	17	144
Pyhin1	0	0	0	1	3490
E530001F21Rik	0	0	0	0	1127
Fancf	87	88	393	491	1688
A330023F24Rik	4	2	44	73	5187
Rdh16	0	0	0	0	3204
Lamtor3	81	85	389	480	1256
Defb30	1	0	2	1	999
Bst2	72	67	327	396	761
Serpinb1a	9	12	72	76	1911
Man1c1	1047	1010	4973	5847	4703
Acaa1b	6	9	36	64	1657
Gm5512_1	16	7	82	97	1754
Dip2c	354	424	3012	3573	7987
Zfp668	313	274	1333	1680	3448
Tead3	845	838	5332	8750	2988
Hps3	147	147	1009	1544	4599
2610002I17Rik	148	114	601	719	2057
Tssk2	3	2	8	21	1387
Snd1	3490	3363	14240	15583	3458
Nacc2	195	219	1283	1474	7009
Ms4a8a	0	0	0	0	1075
Klhl13	1134	1252	5439	6203	3213
Cand1	2362	2286	10146	11589	8194
Ankrd27	438	447	2233	2892	4924
Atg5	582	454	1630	1752	2344
Zscan2	167	174	960	1226	2283
Mta2	1853	1744	9270	11582	3069
Sbk1	613	649	4483	4678	4088
Pts	256	231	1047	1405	1030
Cdc123	1171	1059	4280	5156	1610
Rangap1	3638	3055	12903	14973	2985
Vmn1r172	0	0	0	0	1223
Rabggtb	856	863	4169	5633	1676
Ccdc24	59	54	121	236	1271
Ctf1	8	24	70	101	1342
Egfbp2	0	0	0	0	865
Ear14	0	0	0	0	461
Gm14351	0	0	0	0	1950
Olfr804	0	0	0	0	944
Mmadhc	737	670	2591	2981	1294
Gm17769	15	15	111	160	2563
Mir212	0	0	0	0	90
Gm6367	0	0	0	0	2460
Mybbp1a	3094	2740	13481	16611	4091
Mir341	0	0	1	1	95
Gm11744	8	2	11	31	796
Mir3093	0	0	0	0	86
Elovl2	33	21	77	227	3829
Cndp2	579	517	2215	2856	2039
Fam178b_1	2	0	3	0	1651
4833424O15Rik	133	89	646	1041	4038
Lin54	328	309	1527	1727	4715
1700028J19Rik	5	13	21	22	1182
Tshz3	65	77	376	478	5000
Pcna	637	510	1903	1987	1254
Ifi44	0	4	11	2	2900
Arhgap6	503	539	2049	2660	5734
Clec4f	0	0	3	0	2393
