gene	lv1	lv2	rv1	rv2	genelength
Ms4a4b	0	0	0	0	1251
Gprin2	0	4	14	22	1599
Arsk	46	59	215	276	3649
Lrrtm3	3	7	47	66	3849
5031439G07Rik	733	663	3732	4297	5022
Mir210	0	0	0	0	109
A330035P11Rik	11	14	72	115	2707
Olfr819	0	0	0	0	962
Slc30a6	271	285	1052	1310	2157
Bbs10	98	86	389	487	2751
Catsper1	0	0	0	0	2049
Pid1	8	8	137	134	2664
Ankrd54	305	271	1467	1720	1870
Gm16501	0	0	0	0	335
Slc46a3	17	25	50	121	2415
Foxp2	47	43	471	572	7052
Bspry	6	9	48	101	1736
Myo3a	0	0	0	0	5048
Fam158a	188	171	556	734	800
Rnf32	25	12	48	93	1099
Pnma5	1	3	3	6	2285
March10	5	12	21	63	3608
Vcl	2549	3172	16879	20122	5208
Ucp2	2030	2195	9310	11536	4125
Prss51	0	0	0	0	954
Trim7	2	3	32	45	1359
Apol7a	2	0	1	6	2386
Stfa3	0	0	0	0	409
Smg7	1327	1618	7555	10484	6045
1810049H13Rik	124	144	640	616	808
Anp32a	3889	3966	18246	22128	2082
Ywhaq	599	526	2184	2490	2105
Aagab	505	483	2703	3201	2590
Ube2ql1	60	51	193	208	2680
Kpna4	1419	1304	5150	6000	3709
Vmn2r80	0	0	0	0	2586
Pcdhga4	3239	3715	15189	15741	4530
Vmn1r37	0	0	0	0	908
Ccdc42b	1	3	13	12	914
Lce3f	0	0	0	0	609
Lrrk1	384	401	1650	2337	7420
Mir92b	0	0	0	0	82
4933433F19Rik	0	0	0	0	1082
Ank	635	709	3792	4280	3484
Enc1	505	518	2365	2964	4740
Laptm4a	3610	3551	11505	12230	2122
Eif3d	3441	2978	11329	13174	1895
Olfr1047	0	0	0	0	959
Camk2n2	79	54	237	246	1280
Mir3100	0	0	5	7	64
Mir199b	0	0	0	0	109
Cdc42se2	549	600	3140	3733	3132
2700049A03Rik	206	180	1073	1307	5733
Aqr	631	648	3206	4068	4850
Ankfy1	825	901	4355	5601	8009
Cfd	0	0	0	1	918
N4bp1	971	994	4975	5803	6462
Psmc1	2008	1628	7787	8925	1482
4933405D12Rik	2	0	4	10	762
Smek2	652	730	2776	3381	5092
LOC380994_4	0	0	0	0	823
Nfe2l2	888	913	3580	4566	2464
Olfr1320	0	0	0	0	959
Pdss2	83	83	491	573	2022
2310061N02Rik	0	0	0	0	791
Pde3a	166	208	1761	2000	4189
Rhox9	0	6	4	13	878
Upb1	2	0	12	11	1425
A330070K13Rik	0	0	0	0	630
Vmn1r52	0	0	0	0	929
Tox3	146	216	2754	2912	3186
4930519F09Rik	0	0	0	0	1544
1700066M21Rik	70	75	351	456	3005
Tmem63c	0	0	0	4	3308
Mir669p-2	0	0	0	0	86
Ubox5	165	148	651	862	3877
Slc11a2	354	320	1641	2352	5618
Hmg20b	1872	1797	10937	13261	1650
Dpf2	1462	1353	5425	7193	2679
Fgd3	14	4	71	106	3092
Ccdc152	1	0	3	1	789
Nav1	2136	2592	17219	20184	12738
Zfp110	215	209	903	1173	3541
Slc30a10	89	57	203	339	5831
Bcar1	1831	1846	7936	9066	3271
Ahcyl2	204	237	1235	1848	5367
Bcor	940	1151	6973	8273	6994
Dus4l	95	123	529	641	1761
Fbxo31	541	439	2864	3293	4346
Ckmt2	114	143	240	262	1476
Gm16861	56	78	569	615	1528
Cd93	3392	4442	19206	16581	6636
Rnd1	37	25	86	94	2198
Cdh7	4	2	13	39	3341
Maea	1788	1684	8218	9826	2119
Hist1h4f	1	0	7	2	311
Olfr1385	0	0	0	0	929
4930415L06Rik	0	0	0	0	2616
Nrarp	183	136	1489	1288	2574
Olfr293	0	0	0	0	1010
Clvs2	1	0	0	0	2494
Hist1h3h	8	4	12	10	487
5730416F02Rik	0	0	0	1	811
Snora74a	1	1	1	8	197
Gm13285_2	0	0	0	0	548
1700025K23Rik	41	36	97	168	725
Fam84b	441	356	1477	2138	5561
Tatdn1	59	56	302	485	1354
Tle2	235	366	2204	3314	3094
Usp20	372	422	3455	3846	4132
Ptchd1	1	1	27	23	6486
Papolb	2	6	39	45	2336
Cldn1	25	12	53	52	3237
Kcnq5	310	323	1554	2021	6965
Rps6	113	131	283	343	1389
Hist1h2ap_1	0	0	0	0	392
Nova1	82	106	568	864	6995
Dysf	912	1230	6396	7335	7000
D830030K20Rik	1	0	6	12	1413
AI646023	22	21	109	142	4597
Dnahc9	1	1	1	5	13705
Zfyve26	469	587	2765	3922	9326
Ret	47	2	18	30	7322
Gm12830	0	0	0	0	2304
Adamts10	537	535	3249	5787	4045
Gm3763	0	0	0	0	1942
Ppp5c	2098	1707	8946	9979	2056
Zfp60	147	197	878	1174	4052
Nsg1	137	131	760	769	2135
1700010I14Rik	26	20	44	101	1868
D16Ertd519e	1	2	1	5	607
Krt84	0	0	0	1	2561
Mir183	0	0	0	0	69
Zfp932	19	18	46	86	2071
Cep57l1	187	168	864	1177	2374
Tnfaip1	2919	2692	11850	14574	3702
Trim56	115	109	860	1194	3634
Ctps	1140	962	6342	6987	2686
Plcxd2	25	25	169	264	7333
Tmprss11c	0	0	0	0	1605
Slc38a1	3178	3436	18945	22460	8373
Ugt1a10	1	8	32	18	3237
2210403K04Rik	70	75	531	919	1763
Cbr2	5	1	14	10	1013
Gm4177_1	0	0	0	0	917
Rbm3	261	281	1198	2159	3496
Camsap1	308	327	2371	3010	7961
Tmem53	70	93	391	415	950
Gm6548	33	50	232	307	2039
Snord32a	2	2	6	13	80
Omg	0	0	1	4	2224
Gss	214	189	1100	1091	1844
Ppm1l	162	206	1724	2258	3950
Lin28a	103	52	45	126	3476
Mrgprb4	0	0	0	0	965
Hdac3	1042	1096	4315	6001	1990
Zfpm1	3093	2535	14976	16447	3376
Yaf2	901	755	3358	3658	2313
Pank4	433	421	2412	3946	2546
Tmem33	540	532	2278	2828	6152
Gm15787	19	25	87	125	1391
Qsox2	273	257	1072	1190	2436
Rtkn	365	347	2354	2831	3345
Bmp3	3	1	28	33	3109
Arf2	576	608	3019	3400	2654
Plxdc2	101	97	1193	1639	3191
Gal3st3	45	54	272	327	2419
Krtap6-1	0	0	0	0	593
Clpb	723	835	4866	5327	4476
B930092H01Rik	0	0	0	2	2673
Gpr81	11	4	25	19	3284
Fbxl8	42	37	232	235	1898
Srl	5123	5947	29704	34824	4971
2010109A12Rik	0	0	11	6	545
Slc39a8	477	400	1195	2225	3697
Nrcam	23	14	81	91	7550
March7	744	805	3338	4795	2709
Vps53	658	694	2491	3072	2794
Trip11	278	328	2086	2898	6427
Tgm7	0	0	0	2	2111
Olfr1309	0	0	0	0	962
Ttc39c	68	60	328	424	2371
Tmprss3	0	0	0	0	2870
Tmem174	1	2	0	0	2250
Gm15386	0	0	0	0	254
4933406K04Rik	0	0	0	0	1345
Mpzl1	1204	1274	6089	7120	2350
Cdk5	529	503	1945	2632	2046
Letmd1	500	474	1827	2757	2570
Tubb6	1550	1204	6631	6879	1740
D16Ertd472e	159	180	711	981	6155
Metrnl	96	61	378	381	2464
Vmn2r46_1	0	0	0	0	2424
Col8a2	125	126	488	568	4327
Gm14169	0	0	2	1	2523
Gm19619	0	0	0	1	2850
2010001M06Rik	71	55	66	88	496
Cbfa2t3	710	806	3540	3659	7951
Actr5	219	198	1154	1540	2368
Mafg	364	364	2085	2853	1631
Ltb	5	4	21	19	1092
Heatr7b1	118	124	784	1117	7483
Prr23a	1	0	2	0	1058
Ccl7	7	3	34	31	796
Trmt61a	232	204	962	1102	2430
Chek2	138	153	557	698	2232
Jkamp	781	703	2765	2936	1969
Arpc5l	714	564	2466	2744	1267
D730040F13Rik	373	558	2149	3205	6877
Ankrd9	126	114	603	650	2555
Gm14308	0	0	0	0	1623
Golt1a	0	1	0	1	1837
Gm2518	407	326	1136	1201	2477
H2-T3	0	0	0	0	2172
Tap2	12	10	109	77	2478
Cd19	0	0	0	2	2421
LOC100859962	0	2	8	18	519
Mir465	0	0	0	0	73
Oxgr1	4	2	1	3	3728
Scarna10	0	1	0	1	70
E130303B06Rik	243	200	893	1367	1269
D7Ertd443e	0	6	12	20	2661
Hepacam	1	4	5	1	3081
